년도별 산불통계,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계
2023,04,02,11:00,일,2023,04,04,16:41,충남,충남,홍성,서부,중,담,기타(직접입력),담뱃불실화추정,1337
2023,04,02,11:00,일,2023,04,02,16:30,경기,경기,양평,지평,망미,기,기타(직접입력),미상,3
2023,04,02,10:05,일,2023,04,02,14:47,경기,경기,화성,송산,마산,쓰,기타(직접입력),쓰레기소각,0.19
2023,04,02,09:56,일,2023,04,02,18:52,충남,충남,천안,목천,송전,기,기타(직접입력),성묘객실화(향불),1.1
2023,04,02,09:50,일,2023,04,02,15:00,중부,충남,천안 동남,북,명덕,기,기타(직접입력),미상(번개탄투기추정),1.49
2023,04,02,08:47,일,2023,04,02,11:21,충남,충남,서산,해미,산수,입,기타(직접입력),입산자실화(담배불추정),0.5
2023,04,02,05:44,일,2023,04,02,11:00,전북,전북,남원,산동,대상,기,기타(직접입력),원인미상(벌채지화재),0.3
2023,04,01,18:50,토,2023,04,01,20:39,전북,전북,전주,덕진,우아1가,입,기타(직접입력),입산자실화(담배꽁초),0.03
2023,04,01,18:25,토,2023,04,01,19:30,경기,경기,양주,,남방,담,기타(직접입력),담뱃불실화,0.01
2023,04,01,17:37,토,2023,04,01,20:00,충남,충남,서천,기산,가공,,기타(직접입력),농산물소각,0.1
2023,04,01,17:01,토,2023,04,01,19:11,경기,경기,광주,곤지암,부항,기,기타(직접입력),원인미상,0.06
2023,04,01,16:40,토,2023,04,01,19:00,전남,전남,해남,옥천,백호,기,기타(직접입력),불씨취급주부주의,0.3
2023,04,01,13:44,토,2023,04,01,15:40,강원,강원,춘천,사북,고탄,쓰,기타(직접입력),쓰레기소각(드럼통),0.26
